step;demand;disruption;ip_1;ip_2;ip_3;il_1;il_2;il_3;op_1;op_2;op_3;as_1;as_2;as_3;bo_1;bo_3
34;7,0;False;73,0;71,0;68,0;52,0;59,0;45,0;9,0;12,0;10,0;[12.  9.  0.  0.];[ 0. 12.  0.  0.];[10. 13.  0.  0.];0,0;0,0
35;13,0;False;67,0;73,0;71,0;51,0;52,0;46,0;7,0;9,0;12,0;[9. 7. 0. 0.];[12.  0.  9.  0.];[25.  0.  0.  0.];0,0;0,0
36;5,0;False;75,0;67,0;73,0;55,0;51,0;64,0;13,0;7,0;9,0;[ 7. 13.  0.  0.];[0. 9. 7. 0.];[0. 9. 0. 0.];0,0;0,0
37;8,0;False;72,0;75,0;67,0;54,0;46,0;51,0;5,0;13,0;7,0;[18.  0.  0.  0.];[22.  7.  0.  0.];[9. 7. 0. 0.];0,0;0,0
38;9,0;False;71,0;72,0;75,0;63,0;60,0;55,0;8,0;5,0;13,0;[8. 0. 0. 0.];[7. 0. 5. 0.];[ 7.  0. 13.  0.];0,0;0,0
39;9,0;False;71,0;71,0;72,0;62,0;58,0;54,0;9,0;8,0;5,0;[0. 9. 0. 0.];[8. 5. 0. 0.];[ 0. 13.  5.  0.];0,0;0,0
40;9,0;False;71,0;71,0;71,0;53,0;57,0;45,0;9,0;9,0;8,0;[9. 0. 9. 0.];[5. 0. 9. 0.];[21.  5.  0.  0.];0,0;0,0
41;14,0;False;66,0;71,0;71,0;48,0;53,0;57,0;9,0;9,0;9,0;[9. 9. 0. 0.];[9. 9. 0. 0.];[5. 9. 0. 0.];0,0;0,0
42;11,0;False;69,0;66,0;71,0;46,0;48,0;53,0;14,0;9,0;9,0;[ 9.  0. 14.  0.];[9. 0. 9. 0.];[18.  0.  0.  0.];0,0;0,0
43;8,0;False;72,0;69,0;66,0;47,0;46,0;57,0;11,0;14,0;9,0;[11. 14.  0.  0.];[ 0. 23.  0.  0.];[9. 0. 0. 0.];0,0;0,0
44;7,0;False;73,0;72,0;69,0;51,0;38,0;55,0;8,0;11,0;14,0;[22.  0.  0.  0.];[34.  0.  0.  0.];[ 0. 14.  0.  0.];0,0;0,0
45;9,0;False;71,0;73,0;72,0;64,0;65,0;47,0;7,0;8,0;11,0;[0. 0. 7. 0.];[0. 0. 8. 0.];[14.  0. 11.  0.];0,0;0,0
46;9,0;False;71,0;71,0;73,0;55,0;56,0;54,0;9,0;7,0;8,0;[ 0. 16.  0.  0.];[7. 8. 0. 0.];[ 0. 11.  8.  0.];0,0;0,0
47;10,0;False;70,0;71,0;71,0;45,0;54,0;45,0;9,0;9,0;7,0;[16.  9.  0.  0.];[17.  0.  0.  0.];[11.  8.  7.  0.];0,0;0,0
48;13,0;False;67,0;70,0;71,0;48,0;61,0;47,0;10,0;9,0;9,0;[ 9.  0. 10.  0.];[9. 0. 0. 0.];[17.  7.  0.  0.];0,0;0,0
49;7,0;False;73,0;67,0;70,0;50,0;57,0;54,0;13,0;10,0;9,0;[13. 10.  0.  0.];[10.  0.  0.  0.];[7. 9. 0. 0.];0,0;0,0
50;9,0;False;71,0;73,0;67,0;54,0;60,0;48,0;7,0;13,0;10,0;[17.  0.  0.  0.];[ 0.  0. 13.  0.];[ 9.  0. 10.  0.];0,0;0,0
51;10,0;False;70,0;71,0;73,0;61,0;51,0;50,0;9,0;7,0;13,0;[9. 0. 0. 0.];[ 7. 13.  0.  0.];[13. 10.  0.  0.];0,0;0,0
52;8,0;False;72,0;70,0;71,0;62,0;48,0;54,0;10,0;9,0;7,0;[ 0.  0. 10.  0.];[22.  0.  0.  0.];[10.  7.  0.  0.];0,0;0,0
53;11,0;False;69,0;72,0;70,0;51,0;62,0;54,0;8,0;10,0;9,0;[ 0. 18.  0.  0.];[10.  0.  0.  0.];[7. 0. 9. 0.];0,0;0,0
54;10,0;False;70,0;69,0;72,0;41,0;61,0;53,0;11,0;8,0;10,0;[18.  0. 11.  0.];[8. 0. 0. 0.];[10.  9.  0.  0.];0,0;0,0
55;11,0;False;69,0;70,0;69,0;48,0;59,0;52,0;10,0;11,0;8,0;[ 0. 21.  0.  0.];[11.  0.  0.  0.];[9. 8. 0. 0.];0,0;0,0
56;9,0;False;71,0;69,0;70,0;39,0;59,0;51,0;11,0;10,0;11,0;[21.  0. 11.  0.];[10.  0.  0.  0.];[ 8.  0. 11.  0.];0,0;0,0
57;10,0;False;70,0;71,0;69,0;50,0;60,0;48,0;9,0;11,0;10,0;[ 0. 20.  0.  0.];[ 0. 11.  0.  0.];[10. 11.  0.  0.];0,0;0,0
58;8,0;False;72,0;70,0;71,0;42,0;50,0;49,0;10,0;9,0;11,0;[20. 10.  0.  0.];[11.  0.  9.  0.];[11. 11.  0.  0.];0,0;0,0
59;10,0;False;70,0;72,0;70,0;52,0;53,0;50,0;8,0;10,0;9,0;[10.  0.  8.  0.];[ 0. 19.  0.  0.];[11.  0.  9.  0.];0,0;0,0
60;5,0;False;75,0;70,0;72,0;57,0;43,0;53,0;10,0;8,0;10,0;[10.  8.  0.  0.];[19.  0.  8.  0.];[ 0.  9. 10.  0.];0,0;0,0
61;14,0;False;66,0;75,0;70,0;53,0;57,0;43,0;5,0;10,0;8,0;[8. 5. 0. 0.];[ 0. 18.  0.  0.];[ 9. 10.  8.  0.];0,0;0,0
62;9,0;False;71,0;66,0;75,0;52,0;43,0;47,0;14,0;5,0;10,0;[ 5. 14.  0.  0.];[18.  5.  0.  0.];[10. 18.  0.  0.];0,0;0,0
63;7,0;False;73,0;71,0;66,0;50,0;52,0;43,0;9,0;14,0;5,0;[14.  0.  9.  0.];[ 5. 14.  0.  0.];[23.  0.  0.  0.];0,0;0,0
64;7,0;False;73,0;73,0;71,0;57,0;50,0;57,0;7,0;9,0;14,0;[0. 9. 7. 0.];[14.  0.  9.  0.];[14.  0.  0.  0.];0,0;0,0
65;8,0;False;72,0;73,0;73,0;49,0;57,0;64,0;7,0;7,0;9,0;[ 9. 14.  0.  0.];[7. 9. 0. 0.];[0. 0. 9. 0.];0,0;0,0
66;9,0;False;71,0;72,0;73,0;49,0;56,0;57,0;8,0;7,0;7,0;[22.  0.  0.  0.];[9. 0. 7. 0.];[7. 9. 0. 0.];0,0;0,0
67;9,0;False;71,0;71,0;72,0;62,0;56,0;56,0;9,0;8,0;7,0;[9. 0. 0. 0.];[8. 7. 0. 0.];[16.  0.  0.  0.];0,0;0,0
68;12,0;False;68,0;71,0;71,0;59,0;55,0;63,0;9,0;9,0;8,0;[9. 0. 0. 0.];[16.  0.  0.  0.];[0. 8. 0. 0.];0,0;0,0
69;10,0;False;70,0;68,0;71,0;58,0;59,0;54,0;12,0;9,0;9,0;[ 0. 12.  0.  0.];[9. 0. 0. 0.];[8. 9. 0. 0.];0,0;0,0
70;15,0;False;65,0;70,0;68,0;43,0;58,0;50,0;10,0;12,0;9,0;[12.  0. 10.  0.];[12.  0.  0.  0.];[18.  0.  0.  0.];0,0;0,0
71;8,0;False;72,0;65,0;70,0;47,0;55,0;58,0;15,0;10,0;12,0;[15. 10.  0.  0.];[ 0. 10.  0.  0.];[ 0. 12.  0.  0.];0,0;0,0
72;12,0;False;68,0;72,0;65,0;50,0;47,0;43,0;8,0;15,0;10,0;[10.  8.  0.  0.];[10. 15.  0.  0.];[22.  0.  0.  0.];0,0;0,0
73;11,0;False;69,0;68,0;72,0;49,0;45,0;57,0;12,0;8,0;15,0;[20.  0.  0.  0.];[15.  0.  8.  0.];[15.  0.  0.  0.];0,0;0,0
74;10,0;False;70,0;69,0;68,0;59,0;49,0;60,0;11,0;12,0;8,0;[ 0.  0. 11.  0.];[ 0.  8. 12.  0.];[0. 0. 8. 0.];0,0;0,0
75;9,0;False;71,0;70,0;69,0;50,0;39,0;49,0;10,0;11,0;12,0;[ 0. 21.  0.  0.];[ 8. 12. 11.  0.];[12.  8.  0.  0.];0,0;0,0
76;9,0;False;71,0;71,0;70,0;41,0;38,0;51,0;9,0;10,0;11,0;[21.  9.  0.  0.];[12. 11. 10.  0.];[ 8. 11.  0.  0.];0,0;0,0
77;6,0;False;74,0;71,0;71,0;56,0;41,0;50,0;9,0;9,0;10,0;[9. 9. 0. 0.];[20. 10.  0.  0.];[21.  0.  0.  0.];0,0;0,0
78;11,0;False;69,0;74,0;71,0;54,0;55,0;62,0;6,0;9,0;9,0;[9. 6. 0. 0.];[19.  0.  0.  0.];[0. 9. 0. 0.];0,0;0,0
79;9,0;False;71,0;69,0;74,0;54,0;63,0;56,0;11,0;6,0;9,0;[17.  0.  0.  0.];[0. 6. 0. 0.];[9. 0. 9. 0.];0,0;0,0
80;12,0;False;68,0;71,0;69,0;59,0;54,0;54,0;9,0;11,0;6,0;[0. 0. 9. 0.];[ 6.  0. 11.  0.];[ 0. 15.  0.  0.];0,0;0,0
81;11,0;False;69,0;68,0;71,0;48,0;48,0;45,0;12,0;9,0;11,0;[ 0. 21.  0.  0.];[ 0. 11.  9.  0.];[15. 11.  0.  0.];0,0;0,0
82;11,0;False;69,0;69,0;68,0;37,0;37,0;48,0;11,0;12,0;9,0;[21. 11.  0.  0.];[11. 21.  0.  0.];[20.  0.  0.  0.];0,0;0,0
83;10,0;False;70,0;69,0;69,0;48,0;37,0;57,0;11,0;11,0;12,0;[22.  0.  0.  0.];[21.  0. 11.  0.];[ 0.  0. 12.  0.];0,0;0,0
84;11,0;False;69,0;70,0;69,0;59,0;48,0;46,0;10,0;11,0;11,0;[ 0. 10.  0.  0.];[11. 11.  0.  0.];[ 0. 12. 11.  0.];0,0;0,0
85;8,0;False;72,0;69,0;70,0;51,0;48,0;36,0;11,0;10,0;11,0;[10.  0. 11.  0.];[21.  0.  0.  0.];[12. 11. 11.  0.];0,0;0,0
86;7,0;False;73,0;72,0;69,0;54,0;61,0;37,0;8,0;11,0;10,0;[ 0. 19.  0.  0.];[ 0.  0. 11.  0.];[11. 11. 10.  0.];0,0;0,0
87;10,0;False;70,0;73,0;72,0;44,0;54,0;40,0;7,0;8,0;11,0;[26.  0.  0.  0.];[ 0. 19.  0.  0.];[22. 10.  0.  0.];0,0;0,0
88;10,0;False;70,0;70,0;73,0;60,0;44,0;55,0;10,0;7,0;8,0;[ 0. 10.  0.  0.];[19.  7.  0.  0.];[10.  8.  0.  0.];0,0;0,0
89;5,0;False;75,0;70,0;70,0;55,0;53,0;55,0;10,0;10,0;7,0;[10.  0. 10.  0.];[ 7.  0. 10.  0.];[8. 7. 0. 0.];0,0;0,0
90;12,0;False;68,0;75,0;70,0;53,0;55,0;53,0;5,0;10,0;10,0;[ 0. 10.  5.  0.];[10. 10.  0.  0.];[17.  0.  0.  0.];0,0;0,0
91;12,0;False;68,0;68,0;75,0;41,0;53,0;65,0;12,0;5,0;10,0;[10. 17.  0.  0.];[10.  5.  0.  0.];[ 0.  0. 10.  0.];0,0;0,0
92;9,0;False;71,0;68,0;68,0;42,0;51,0;53,0;12,0;12,0;5,0;[17.  0. 12.  0.];[ 5.  0. 12.  0.];[ 5. 10.  0.  0.];0,0;0,0
93;9,0;False;71,0;71,0;68,0;50,0;47,0;46,0;9,0;12,0;12,0;[ 9. 12.  0.  0.];[12. 12.  0.  0.];[10.  0. 12.  0.];0,0;0,0
94;11,0;False;69,0;71,0;71,0;48,0;50,0;47,0;9,0;9,0;12,0;[12.  0.  9.  0.];[12.  9.  0.  0.];[ 0. 12. 12.  0.];0,0;0,0
95;11,0;False;69,0;69,0;71,0;49,0;51,0;38,0;11,0;9,0;9,0;[ 0. 20.  0.  0.];[9. 0. 9. 0.];[12. 12.  9.  0.];0,0;0,0
96;9,0;False;71,0;69,0;69,0;40,0;49,0;39,0;11,0;11,0;9,0;[20.  0. 11.  0.];[ 0. 20.  0.  0.];[21.  9.  0.  0.];0,0;0,0
97;6,0;False;74,0;71,0;69,0;54,0;40,0;49,0;9,0;11,0;11,0;[ 9. 11.  0.  0.];[20. 11.  0.  0.];[ 9.  0. 11.  0.];0,0;0,0
98;7,0;False;73,0;74,0;71,0;56,0;54,0;49,0;6,0;9,0;11,0;[11.  6.  0.  0.];[20.  0.  0.  0.];[ 0. 11. 11.  0.];0,0;0,0
99;11,0;False;69,0;73,0;74,0;56,0;67,0;43,0;7,0;6,0;9,0;[6. 0. 7. 0.];[0. 0. 6. 0.];[20. 11.  0.  0.];0,0;0,0
100;8,0;True;72,0;69,0;73,0;54,0;56,0;56,0;11,0;7,0;6,0;[ 0.  7. 11.  0.];[ 0. 13.  0.  0.];[11.  6.  0.  0.];0,0;0,0
101;11,0;True;69,0;72,0;69,0;43,0;48,0;56,0;8,0;11,0;7,0;[15. 11.  0.  0.];[13.  0. 11.  0.];[13.  0.  0.  0.];0,0;0,0
102;15,0;True;65,0;69,0;72,0;43,0;50,0;61,0;11,0;8,0;11,0;[11. 11.  0.  0.];[ 8. 11.  0.  0.];[11.  0.  0.  0.];0,0;0,0
103;11,0;True;69,0;65,0;69,0;43,0;43,0;61,0;15,0;11,0;8,0;[11. 15.  0.  0.];[11.  0. 11.  0.];[8. 0. 0. 0.];0,0;0,0
104;18,0;True;62,0;69,0;65,0;36,0;43,0;54,0;11,0;15,0;11,0;[26.  0.  0.  0.];[ 0. 11. 15.  0.];[ 0.  0. 11.  0.];0,0;0,0
105;17,0;True;63,0;62,0;69,0;45,0;25,0;43,0;18,0;11,0;15,0;[ 0.  0. 18.  0.];[11. 15. 11.  0.];[15. 11.  0.  0.];0,0;0,0
106;18,0;True;62,0;63,0;62,0;27,0;19,0;40,0;17,0;18,0;11,0;[17. 18.  0.  0.];[15. 29.  0.  0.];[11.  0. 11.  0.];0,0;0,0
