step;demand;disruption;ip_1;ip_2;ip_3;il_1;il_2;il_3;op_1;op_2;op_3;as_1;as_2;as_3;bo_1;bo_3
149;10,0;False;70,0;69,0;75,0;54,0;42,0;42,0;11,0;5,0;12,0;[ 0.  5. 11.  0.];[10. 17.  0.  0.];[11. 22.  0.  0.];0,0;0,0
150;13,0;False;67,0;70,0;69,0;41,0;42,0;42,0;10,0;11,0;5,0;[ 5. 11. 10.  0.];[17.  0. 11.  0.];[27.  0.  0.  0.];0,0;0,0
151;7,0;False;73,0;67,0;70,0;39,0;46,0;59,0;13,0;10,0;11,0;[11. 10. 13.  0.];[ 0. 21.  0.  0.];[11.  0.  0.  0.];0,0;0,0
152;10,0;False;70,0;73,0;67,0;40,0;39,0;57,0;7,0;13,0;10,0;[10. 13.  7.  0.];[21. 13.  0.  0.];[ 0.  0. 10.  0.];0,0;0,0
153;12,0;False;68,0;70,0;73,0;38,0;50,0;50,0;10,0;7,0;13,0;[13.  7. 10.  0.];[13.  7.  0.  0.];[ 0. 10. 13.  0.];0,0;0,0
154;11,0;False;69,0;68,0;70,0;40,0;51,0;40,0;12,0;10,0;7,0;[ 7. 22.  0.  0.];[ 7.  0. 10.  0.];[10. 13.  7.  0.];0,0;0,0
155;7,0;False;73,0;69,0;68,0;40,0;47,0;38,0;11,0;12,0;10,0;[33.  0.  0.  0.];[ 0. 22.  0.  0.];[23.  7.  0.  0.];0,0;0,0
156;8,0;False;72,0;73,0;69,0;65,0;40,0;50,0;7,0;11,0;12,0;[0. 0. 7. 0.];[22.  0. 11.  0.];[ 7.  0. 12.  0.];0,0;0,0
157;8,0;False;72,0;72,0;73,0;57,0;54,0;50,0;8,0;7,0;11,0;[0. 7. 8. 0.];[ 0. 11.  7.  0.];[11. 12.  0.  0.];0,0;0,0
158;10,0;False;70,0;72,0;72,0;47,0;46,0;53,0;8,0;8,0;7,0;[ 7. 16.  0.  0.];[11.  7.  8.  0.];[19.  0.  0.  0.];0,0;0,0
159;9,0;False;71,0;70,0;72,0;45,0;47,0;64,0;10,0;8,0;8,0;[16.  0. 10.  0.];[15.  8.  0.  0.];[0. 8. 0. 0.];0,0;0,0
160;13,0;False;67,0;71,0;70,0;48,0;53,0;54,0;9,0;10,0;8,0;[ 0. 10.  9.  0.];[18.  0.  0.  0.];[8. 0. 8. 0.];0,0;0,0
161;9,0;False;71,0;67,0;71,0;39,0;58,0;53,0;13,0;9,0;10,0;[10.  9. 13.  0.];[9. 0. 0. 0.];[ 0. 18.  0.  0.];0,0;0,0
162;11,0;False;69,0;71,0;67,0;38,0;58,0;40,0;9,0;13,0;9,0;[18. 13.  0.  0.];[ 0.  0. 13.  0.];[27.  0.  0.  0.];0,0;0,0
163;14,0;False;66,0;69,0;71,0;42,0;47,0;58,0;11,0;9,0;13,0;[13. 11.  0.  0.];[ 0. 13.  9.  0.];[ 0.  0. 13.  0.];0,0;0,0
164;11,0;False;69,0;66,0;69,0;44,0;33,0;47,0;14,0;11,0;9,0;[25.  0.  0.  0.];[13. 20.  0.  0.];[ 9. 13.  0.  0.];0,0;0,0
165;10,0;False;70,0;69,0;66,0;59,0;35,0;42,0;11,0;14,0;11,0;[ 0.  0. 11.  0.];[20.  0. 14.  0.];[13. 11.  0.  0.];0,0;0,0
166;13,0;False;67,0;70,0;69,0;46,0;45,0;44,0;10,0;11,0;14,0;[ 0. 11. 10.  0.];[ 0. 25.  0.  0.];[25.  0.  0.  0.];0,0;0,0
167;8,0;False;72,0;67,0;70,0;38,0;32,0;59,0;13,0;10,0;11,0;[24. 10.  0.  0.];[35.  0.  0.  0.];[11.  0.  0.  0.];0,0;0,0
168;6,0;False;74,0;72,0;67,0;56,0;59,0;57,0;8,0;13,0;10,0;[10.  8.  0.  0.];[ 0. 13.  0.  0.];[ 0. 10.  0.  0.];0,0;0,0
169;9,0;False;71,0;74,0;72,0;57,0;53,0;49,0;6,0;8,0;13,0;[8. 0. 6. 0.];[13.  8.  0.  0.];[23.  0.  0.  0.];0,0;0,0
170;8,0;False;72,0;71,0;74,0;57,0;57,0;66,0;9,0;6,0;8,0;[9. 6. 0. 0.];[14.  0.  0.  0.];[0. 0. 8. 0.];0,0;0,0
171;8,0;False;72,0;72,0;71,0;58,0;63,0;57,0;8,0;9,0;6,0;[6. 0. 8. 0.];[0. 9. 0. 0.];[ 0. 14.  0.  0.];0,0;0,0
172;14,0;False;66,0;72,0;72,0;50,0;55,0;49,0;8,0;8,0;9,0;[8. 8. 0. 0.];[17.  0.  0.  0.];[23.  0.  0.  0.];0,0;0,0
173;11,0;False;69,0;66,0;72,0;47,0;58,0;64,0;14,0;8,0;8,0;[ 8. 14.  0.  0.];[0. 0. 8. 0.];[0. 0. 8. 0.];0,0;0,0
174;9,0;False;71,0;69,0;66,0;46,0;47,0;50,0;11,0;14,0;8,0;[14. 11.  0.  0.];[ 0.  8. 14.  0.];[0. 8. 8. 0.];0,0;0,0
175;9,0;False;71,0;71,0;69,0;51,0;38,0;39,0;9,0;11,0;14,0;[20.  0.  0.  0.];[ 8. 25.  0.  0.];[22.  8.  0.  0.];0,0;0,0
176;11,0;False;69,0;71,0;71,0;60,0;37,0;52,0;9,0;9,0;11,0;[0. 0. 9. 0.];[25.  9.  0.  0.];[ 8. 11.  0.  0.];0,0;0,0
177;5,0;False;75,0;69,0;71,0;55,0;51,0;51,0;11,0;9,0;9,0;[ 0.  9. 11.  0.];[18.  0.  0.  0.];[20.  0.  0.  0.];0,0;0,0
178;12,0;False;68,0;75,0;69,0;43,0;64,0;60,0;5,0;11,0;9,0;[14. 11.  0.  0.];[ 0. 11.  0.  0.];[0. 9. 0. 0.];0,0;0,0
179;12,0;False;68,0;68,0;75,0;45,0;52,0;55,0;12,0;5,0;11,0;[23.  0.  0.  0.];[16.  0.  0.  0.];[ 9. 11.  0.  0.];0,0;0,0
180;9,0;False;71,0;68,0;68,0;59,0;56,0;52,0;12,0;12,0;5,0;[ 0.  0. 12.  0.];[12.  0.  0.  0.];[16.  0.  0.  0.];0,0;0,0
181;7,0;False;73,0;71,0;68,0;52,0;59,0;56,0;9,0;12,0;12,0;[ 0. 21.  0.  0.];[12.  0.  0.  0.];[12.  0.  0.  0.];0,0;0,0
182;6,0;False;74,0;73,0;71,0;46,0;64,0;59,0;7,0;9,0;12,0;[28.  0.  0.  0.];[0. 9. 0. 0.];[ 0. 12.  0.  0.];0,0;0,0
183;9,0;False;71,0;74,0;73,0;65,0;58,0;52,0;6,0;7,0;9,0;[0. 6. 0. 0.];[9. 0. 7. 0.];[12.  0.  9.  0.];0,0;0,0
184;8,0;False;72,0;71,0;74,0;57,0;58,0;58,0;9,0;6,0;7,0;[15.  0.  0.  0.];[6. 7. 0. 0.];[ 0. 16.  0.  0.];0,0;0,0
185;7,0;False;73,0;72,0;71,0;65,0;56,0;49,0;8,0;9,0;6,0;[8. 0. 0. 0.];[16.  0.  0.  0.];[16.  0.  6.  0.];0,0;0,0
186;11,0;False;69,0;73,0;72,0;62,0;65,0;57,0;7,0;8,0;9,0;[0. 7. 0. 0.];[0. 0. 8. 0.];[9. 6. 0. 0.];0,0;0,0
187;11,0;False;69,0;69,0;73,0;51,0;54,0;59,0;11,0;7,0;8,0;[18.  0.  0.  0.];[0. 8. 7. 0.];[14.  0.  0.  0.];0,0;0,0
188;12,0;False;68,0;69,0;69,0;57,0;43,0;62,0;11,0;11,0;7,0;[11.  0.  0.  0.];[19.  7.  0.  0.];[0. 7. 0. 0.];0,0;0,0
189;10,0;False;70,0;68,0;69,0;58,0;50,0;51,0;12,0;11,0;11,0;[ 0. 12.  0.  0.];[ 7. 11.  0.  0.];[ 7.  0. 11.  0.];0,0;0,0
190;9,0;False;71,0;70,0;68,0;49,0;47,0;46,0;10,0;12,0;11,0;[12.  0. 10.  0.];[11. 12.  0.  0.];[11. 11.  0.  0.];0,0;0,0
191;7,0;False;73,0;71,0;70,0;54,0;49,0;47,0;9,0;10,0;12,0;[ 0. 10.  9.  0.];[22.  0.  0.  0.];[11.  0. 12.  0.];0,0;0,0
192;8,0;False;72,0;73,0;71,0;46,0;64,0;49,0;7,0;9,0;10,0;[10. 16.  0.  0.];[0. 0. 9. 0.];[ 0. 22.  0.  0.];0,0;0,0
193;12,0;False;68,0;72,0;73,0;44,0;56,0;42,0;8,0;7,0;9,0;[24.  0.  0.  0.];[0. 9. 7. 0.];[22.  9.  0.  0.];0,0;0,0
194;10,0;False;70,0;68,0;72,0;58,0;44,0;56,0;12,0;8,0;7,0;[ 0. 12.  0.  0.];[17.  7.  0.  0.];[16.  0.  0.  0.];0,0;0,0
195;7,0;False;73,0;70,0;68,0;51,0;51,0;60,0;10,0;12,0;8,0;[12. 10.  0.  0.];[19.  0.  0.  0.];[8. 0. 0. 0.];0,0;0,0
196;10,0;False;70,0;73,0;70,0;53,0;63,0;58,0;7,0;10,0;12,0;[10.  0.  7.  0.];[ 0.  0. 10.  0.];[12.  0.  0.  0.];0,0;0,0
197;7,0;False;73,0;70,0;73,0;56,0;53,0;63,0;10,0;7,0;10,0;[ 0. 17.  0.  0.];[ 7. 10.  0.  0.];[10.  0.  0.  0.];0,0;0,0
198;9,0;False;71,0;73,0;70,0;47,0;53,0;63,0;7,0;10,0;7,0;[24.  0.  0.  0.];[10. 10.  0.  0.];[0. 0. 7. 0.];0,0;0,0
199;10,0;False;70,0;71,0;73,0;61,0;54,0;56,0;9,0;7,0;10,0;[9. 0. 0. 0.];[10.  0.  7.  0.];[ 0. 17.  0.  0.];0,0;0,0
200;7,0;False;73,0;70,0;71,0;63,0;54,0;47,0;10,0;9,0;7,0;[ 0.  0. 10.  0.];[0. 7. 9. 0.];[17.  7.  0.  0.];0,0;0,0
